song_id,danceability,duration_ms,energy,acousticness,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
5JDjxO6F0RrLkzAdIOG6P3,0.947,183182,0.874,0.3160,0,0,2,0.372,-3.813,0,0.1760,120.063,0.835
5uxHTiFxxUO9l3KSdz44tP,0.444,259297,0.956,0.0003,1,0,1,0.261,-4.097,1,0.1110,92.623,0.278
7GlRo5A1UdV7pEFzd4O4OG,0.459,249547,0.989,0.0033,0,0.000316,4,0.117,-3.003,1,0.1620,175.938,0.428
0wmmFkwOtzaanH4T5vMMLz,0.400,120907,0.061,0.9960,0,0.909,7,0.107,-17.481,1,0.0501,75.983,0.144
4nzZ4QWnSt8I3MJ39UfXdN,0.443,231653,0.996,0.0008,0,0.002,7,0.353,-2.994,1,0.0823,157.990,0.437
38G32c3uJeFucSYweZv4pI,0.648,177250,0.859,0.0065,0,0.0282,7,0.135,-4.974,1,0.1110,128.030,0.633
4VaL54I6TlzghRTzOhfr7L,0.471,350002,0.839,0.1160,1,0,5,0.658,-6.852,0,0.3790,115.790,0.639
6DAZo26QUioi1UnCI0euII,0.617,141091,0.656,0.4910,1,7.84E-06,5,0.080,-8.023,1,0.3040,84.712,0.475
3NnJrXwCZw2bf4RKxpLEsM,0.699,208320,0.784,0.0232,0,0,1,0.086,-3.667,1,0.0401,97.982,0.858
6xwSVEgSsXK9Wmmyd6BkiD,0.799,146129,0.573,0.0333,1,0,11,0.103,-5.04,1,0.4390,136.301,0.466
4aT9Pm5jhQBepwqyyuNbTT,0.748,233966,0.548,0.0027,0,0.788,6,0.196,-5.447,0,0.0654,101.033,0.193
52a9fyhPzrMz6bxVQoEIcX,0.760,264573,0.605,0.4310,1,0,6,0.141,-8.782,1,0.3720,105.690,0.452
4Xn2RsLiDUDisOgJ24FigK,0.964,93559,0.554,0.2900,0,0,5,0.091,-10.215,1,0.0598,118.124,0.855
5z9cKcr2oSPGkl0947lsky,0.575,217825,0.847,0.0042,0,0,6,0.153,-6.107,0,0.0532,95.013,0.797
3cWeVrL36kX4IpJNrwcMOu,0.593,196267,0.549,0.5490,0,0,5,0.141,-7.402,1,0.0268,142.004,0.399
4R6OANdWnhMM9Asu3zjxK6,0.769,282493,0.656,0.0508,1,0,1,0.301,-6.561,1,0.1810,90.029,0.391
1ZLDXa6fRGACA4qYnU6OL1,0.658,209933,0.702,0.0269,0,0,0,0.140,-3.75,1,0.0292,123.064,0.642
2DDDzxzFpgTQx4AEKRO3zz,0.534,205640,0.962,0.0006,0,0.0263,2,0.113,-4.129,1,0.0568,106.480,0.737
3mzqghn7bdV3Uaqc9eBPK2,0.736,260413,0.580,0.2630,0,0.663,5,0.101,-9.643,0,0.0485,140.040,0.137
0kStIT9KwDMHaAL8YewhHS,0.164,570036,0.913,0.0811,0,0.94,10,0.361,-20.818,0,0.0722,114.549,0.000
5d4Q9bLZWtsL90vvSh8UWr,0.625,221960,0.842,0.0022,1,0,11,0.063,-3.606,0,0.0617,130.035,0.537
12TE7Vt592RcM1G3EaaZ0f,0.703,263760,0.632,0.5540,0,0,9,0.118,-6.508,1,0.0245,102.404,0.470
4nAp10uhDMTEP7CcklDyVn,0.674,155853,0.939,0.0064,0,0,1,0.062,-3.565,1,0.0446,126.909,0.614
6FrTsTMjihUNNInGFNK5Ff,0.799,209787,0.935,0.1380,0,0.000184,3,0.015,-5.927,0,0.0561,115.017,0.968
7p0sSbjOo0c0edsfGapmHg,0.577,203293,0.888,0.0001,0,8.95E-05,1,0.135,-6.323,1,0.0610,139.028,0.680
37vqbjwZ6l92SDwzPlJW9m,0.624,206000,0.644,0.3920,0,1.06E-05,6,0.272,-5.498,0,0.0256,112.932,0.309
